AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,100.0,25.81,0.0,0.0,0.0,58.76,23.4,44.96
25-29,0.0,32.65,0.0,100.0,0.0,51.57,35.29,43.59
30-34,0.0,46.26,0.0,0.0,50.0,59.17,12.5,53.0
35-39,100.0,48.03,0.0,0.0,100.0,70.85,14.29,62.5
40-44,0.0,56.14,0.0,0.0,0.0,71.54,40.0,65.94
45-49,75.0,56.44,0.0,0.0,0.0,80.07,22.22,72.38
50-54,100.0,70.16,0.0,0.0,0.0,77.74,22.22,74.66
55-59,0.0,65.03,0.0,0.0,0.0,76.74,20.0,71.81
60-64,0.0,68.78,0.0,0.0,100.0,81.99,40.0,76.44
65-OVER,33.33,64.47,0.0,0.0,100.0,76.37,54.55,73.15
TOTAL,60.0,54.64,0.0,25.0,71.43,72.43,29.86,65.8
