PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
B,0,33.33,44.44,0,33.33,100,0,0,0,0,50,16.67,0,0,0,0,61.3,62.71,0,38.46,27.59,56.81
C04,0,25,30,0,57.14,0,0,0,0,0,50,25,0,0,50,0,59.77,55.19,33.33,56.98,43.87,50.83
C05,0,45.33,29.73,0,40,12.5,0,50,0,0,12.12,8.57,0,20,26.67,0,59.85,63.5,100,54.17,42.03,54.11
CUBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,0,64.29,52.94,0,100,0,0,0,0,0,33.33,0,0,0,0,0,60.25,68.75,0,79.66,70.00,66.17
H,0,56.25,45.16,0,33.33,100,0,100,0,0,0,60,0,0,0,0,59.67,63.74,0,55.14,48.19,58.5
L,0,57.14,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,63.43,70.3,0,60,22.22,61.74
M,0,41.18,38.89,0,0,0,0,0,0,0,16.67,16.67,0,100,0,0,61.76,61.51,0,58.65,48.24,58.47
P,100,27.59,17.5,0,0,0,0,100,100,0,20,16.67,0,66.67,0,100,54.75,61.27,0,56.96,46.32,53.27
R,0,40,66.67,0,0,100,0,0,0,0,0,0,0,0,0,0,65,73.33,0,55.93,51.11,63.9
S,0,26.32,33.33,0,20,100,0,0,0,0,0,0,0,50,0,0,60.88,64.46,0,56.25,18.18,58.87
SH,0,25,20,0,0,0,0,0,0,0,33.33,0,0,100,0,0,71.72,73.85,0,41.18,30.77,67.94
W,0,34.21,22.22,0,25,25,0,50,0,0,0,33.33,0,25,33.33,0,58.58,60.87,0,51.2,32.38,53.39
WL,0,41.94,22.95,0,60,50,0,0,25,0,26.67,20,0,0,33.33,0,64.68,64.3,0,48.91,55.22,61.02
TOTAL,50.0,37.53,31.5,0,36.36,30.3,0,55.56,25.0,0,25.0,17.14,0,32.0,24.14,33.33,61.59,63.87,60.0,55.79,43.94,56.83
