-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,0.0,12.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,68.0,69.0,0.0,21.0,11.0,195.0
30-34,0.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,93.0,67.0,0.0,25.0,10.0,217.0
35-39,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,83.0,79.0,0.0,38.0,16.0,227.0
40-44,1.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,93.0,65.0,0.0,49.0,24.0,252.0
45-49,0.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,129.0,115.0,0.0,33.0,18.0,318.0
50-54,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,106.0,116.0,0.0,33.0,29.0,300.0
55-59,0.0,10.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,145.0,121.0,0.0,39.0,27.0,356.0
60-64,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,124.0,123.0,0.0,52.0,32.0,343.0
65-OVER,0.0,12.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,462.0,410.0,0.0,107.0,72.0,1084.0
TOTAL,1.0,65.0,81.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,19.0,9.0,0.0,4.0,3.0,1.0,1303.0,1165.0,0.0,397.0,239.0,3292.0
