AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.0,29.57,13.51,100.0,0.0,53.16,14.63,34.57
25-29,0.0,36.04,21.43,0.0,0.0,54.21,21.43,41.75
30-34,0.0,40.7,0.0,0.0,100.0,61.69,50.0,48.68
35-39,75.0,54.86,44.44,0.0,50.0,60.37,38.46,56.35
40-44,25.0,56.45,50.0,0.0,0.0,70.0,37.5,60.18
45-49,0.0,60.1,50.0,0.0,50.0,73.56,42.11,64.85
50-54,0.0,70.85,0.0,0.0,0.0,77.14,55.0,72.67
55-59,0.0,71.37,0.0,100.0,0.0,74.54,38.1,71.32
60-64,20.0,77.78,25.0,0.0,33.33,78.95,61.11,76.76
65-OVER,25.0,72.84,66.67,0.0,66.67,81.69,46.88,77.44
TOTAL,22.22,57.68,23.33,50.0,42.11,72.94,38.46,63.36
