PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
WALNUT GROVE,0,39.81,35.25,0,0,40,0,0,0,0,0,0,0,66.67,0,0,56.98,58.54,0,66.67,12.50,55.01
ROCK SPRING,100,42.18,38.01,0,33.33,22.22,0,0,0,0,42.86,41.18,0,0,40,0,58.68,59.73,0,64.94,50.00,56.49
ARMUCHEE VALLEY,0,47.89,48.68,0,40,0,0,0,50,0,16.67,100,0,0,0,0,63.81,62.91,0,50,50.00,60.85
MOUNTAIN,100,52.44,53.33,0,33.33,0,0,100,0,0,0,0,0,0,0,0,61.9,58.12,0,0,0,58.73
CHATTANOOGA VALLEY,100,37.28,32.78,0,43.75,75,0,0,0,0,41.18,41.18,0,55.56,44.44,33.33,55.14,56.75,0,56.32,53.62,52.64
KENSINGTON,0,35.35,35.24,0,50,0,0,0,0,0,0,0,0,0,100,100,63.3,63.5,0,60.78,50.00,58.77
ROSSVILLE,33.33,28.92,23.67,0,47.83,25,0,80,66.67,0,30.77,45.83,0,27.27,60,66.67,43.59,47.67,0,28.42,28.42,41.38
CHICKAMAUGA,0,36.34,35.79,0,40,64.29,0,0,33.33,0,38.46,50,0,66.67,55.56,50,57.62,58.97,0,47.19,38.03,54.92
FAIRYLAND,0,43.43,43.4,0,100,66.67,0,0,50,0,83.33,33.33,0,0,0,0,59.46,54.89,0,50,50.00,55.12
FAIRVIEW,0,30.83,25.74,0,36.36,14.29,0,66.67,50,0,41.67,20,0,100,50,33.33,43.64,50.57,0,41.67,43.10,43.69
99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,66.67,36.55,33.56,,41.3,41.67,,61.54,42.86,,38.54,40.74,,45.45,47.06,37.5,54.37,56.36,,45.94,42.06,51.95
