PRECINCT NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
02,1655.0,1.0,53.0,31.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,3.0,5.0,1.0,414.0,265.0,2.0,600.0,257.0
03,1202.0,1.0,17.0,17.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,1.0,348.0,304.0,1.0,314.0,188.0
04,2523.0,1.0,36.0,43.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,5.0,7.0,0.0,733.0,671.0,2.0,626.0,371.0
05,2155.0,2.0,36.0,32.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,12.0,4.0,0.0,568.0,460.0,1.0,686.0,337.0
06,1439.0,0.0,28.0,19.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,491.0,405.0,0.0,318.0,163.0
07,2269.0,1.0,63.0,38.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,253.0,228.0,1.0,1114.0,553.0
08,1733.0,1.0,29.0,21.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,43.0,29.0,2.0,997.0,601.0
09,866.0,0.0,19.0,15.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,265.0,231.0,0.0,196.0,133.0
10,1636.0,0.0,34.0,16.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,9.0,2.0,1051.0,508.0
11,481.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,311.0,159.0
12,652.0,0.0,15.0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,4.0,401.0,205.0
13,611.0,0.0,14.0,11.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,11.0,11.0,3.0,372.0,182.0
14,600.0,0.0,7.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,11.0,3.0,367.0,188.0
15,568.0,1.0,14.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,63.0,59.0,4.0,272.0,137.0
16,309.0,1.0,9.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,2.0,185.0,95.0
17,1091.0,0.0,14.0,16.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,11.0,3.0,5.0,687.0,348.0
18,1037.0,1.0,22.0,12.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,41.0,29.0,5.0,616.0,303.0
19,380.0,0.0,3.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,56.0,0.0,138.0,111.0
20,1572.0,1.0,28.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,384.0,375.0,1.0,449.0,300.0
21,553.0,0.0,14.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,71.0,62.0,2.0,228.0,155.0
22,1192.0,1.0,27.0,17.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,0.0,84.0,57.0,0.0,654.0,340.0
23,1109.0,0.0,20.0,19.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,3.0,1.0,182.0,172.0,3.0,433.0,262.0
