PRECINCT NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
02,46.99,25,34.19,22.3,0,35.71,35.29,0,0,0,0,26.92,21.74,0,15.79,33.33,50,51.36,49.17,18.18,54.84,39.24
03,49.51,20,25.76,15.89,0,37.5,16.67,0,0,0,50,20,10,0,33.33,0,50,55.68,58.24,14.29,54.04,40.69
04,63.76,50,31.03,40.95,0,31.25,33.33,0,0,0,0,52.94,40.91,0,26.32,33.33,0,68.06,69.18,50,68.04,57.43
05,60.76,66.67,42.35,30.48,0,40,40,0,0,0,0,57.14,27.27,0,46.15,22.22,0,65.44,63.62,25,66.34,52.66
06,55.39,0,38.36,21.35,0,83.33,23.08,0,0,0,0,16.67,25,0,33.33,14.29,0,61.68,61.93,0,59.11,42.34
07,50.67,14.29,39.38,23.03,0,31.25,37.5,0,100,0,0,42.86,42.86,0,50,0,0,57.76,55.07,7.69,57.22,43.07
08,53.57,14.29,27.36,16.54,0,25,33.33,0,0,0,0,50,20,0,50,0,33.33,45.26,46.03,16.67,61.66,51.15
09,59.52,0,37.25,25,0,100,25,0,0,0,0,25,0,0,100,66.67,0,64.48,63.99,0,63.23,56.12
10,42.24,0,25.95,9.36,33.33,22.22,0,0,0,66.67,0,0,0,0,0,66.67,0,24.32,42.86,3.77,50.82,37.38
11,63.29,0,16.67,14.81,0,0,33.33,0,0,0,0,33.33,0,0,0,0,0,33.33,20,0,74.76,57.40
12,35.05,0,31.91,10.26,0,28.57,25,0,0,0,0,0,0,0,0,0,0,52.38,45.45,13.79,42.8,28.91
13,36.5,0,28,14.67,0,25,33.33,0,0,0,0,50,12.5,0,100,33.33,0,28.95,35.48,8.82,45.31,30.90
14,38.73,0,12.96,11.11,0,28.57,16.67,0,0,0,0,25,33.33,0,0,0,0,29.55,40.74,14.29,47.66,33.87
15,29.89,10,18.18,10.47,0,37.5,16.67,0,0,0,0,33.33,20,0,0,0,0,37.28,38.56,14.29,35.6,23.95
16,18.19,14.29,10.23,1.79,0,21.43,0,0,0,0,0,10,0,0,0,0,0,12.82,11.11,14.29,26.58,14.84
17,40.23,0,16.67,15.24,0,14.29,0,0,100,0,0,0,66.67,0,66.67,50,0,68.75,60,20,47.15,35.12
18,41.46,11.11,19.82,16.22,0,22.22,11.11,0,50,50,0,25,33.33,0,0,0,0,40.59,40.28,17.24,50.41,35.73
19,51.28,0,15,19.35,0,0,33.33,0,25,0,0,0,0,0,0,0,0,51.61,50.45,0,61.06,53.37
20,56.34,20,28,18.66,0,0,0,0,0,0,0,33.33,42.86,0,0,50,0,58.18,58.32,25,67.82,54.45
21,52.37,0,35.9,19.3,0,50,0,0,0,0,0,22.22,25,0,33.33,0,0,43.83,45.59,50,64.41,58.71
22,35.43,8.33,19.42,11.97,0,9.09,28.57,0,0,0,0,25,13.33,0,0,42.86,0,37,38,0,43.54,30.71
23,51.32,0,28.17,19,0,40,40,0,0,0,0,28.57,40,0,0,42.86,100,50.56,51.34,50,61.24,50.00
24,41.47,28.57,24.68,25,0,38.46,25,0,0,0,0,42.86,33.33,0,100,66.67,0,36.92,38.18,10.53,49.31,35.44
25,70.19,100,38,51.72,0,60,80,0,0,0,0,60,28.57,0,66.67,50,0,72.01,70.5,0,77.95,69.70
26,59.32,0,41.67,16.22,0,100,33.33,0,0,0,0,0,50,0,0,0,0,57.69,81.25,50,68.77,52.20
27,55.22,0,34.62,19.35,0,50,33.33,0,0,0,0,22.22,40,0,0,25,0,58.51,58.7,40,62.32,52.52
28,32.99,0,31.48,25.93,0,33.33,0,0,0,100,0,50,0,0,0,0,0,37.5,16.67,20,38.08,24.02
88888,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,4.55
99999,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.64,0
TOTAL,48.01,10.71,27.97,18.76,12.5,33.02,25.3,,14.81,16.67,25.0,31.3,25.5,0.0,30.53,30.83,14.29,58.13,58.33,12.82,53.21,40.3
