PRECINCT NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
1B,63.53,0,32.61,45.83,0,0,33.33,0,0,0,0,66.67,33.33,0,33.33,0,100,65.62,68.34,0,58.33,29.41
1C,62.77,0,25.71,41.33,0,0,33.33,0,0,50,0,50,40,0,100,50,0,67.07,66.2,0,55.36,51.28
2A,63.52,0,45.59,28.77,0,100,0,0,0,0,0,60,40,0,0,0,0,66.25,68.22,0,61.34,53.49
2C,67.57,0,36.84,40,0,100,50,0,0,33.33,0,0,50,0,100,0,0,70.61,70.79,0,80,16.67
2D,54.43,100,40.43,32.73,0,0,0,0,0,0,0,0,33.33,0,100,100,0,56.87,57.49,0,61.36,58.14
3A,49.46,0,30.16,22.56,0,20,44.44,0,0,100,0,13.64,28.57,0,16.67,66.67,0,52.52,56.73,0,46.15,41.82
3B,62.89,0,39.29,34.04,0,0,100,0,0,0,0,33.33,20,0,50,100,0,65.26,65.8,0,62.5,69.23
4A,44.25,0,25,17.07,0,25,25,0,0,0,0,12.5,25,0,0,30,0,35.71,42.39,0,53.08,44.16
4B,53.55,0,38.46,27.12,0,42.86,33.33,0,100,0,0,16.67,33.33,0,0,25,0,66.44,68.64,0,47.48,41.71
5A,58.1,0,36.25,20.88,0,0,50,0,0,0,0,14.29,33.33,0,0,100,0,66.62,63.7,0,52.58,48.28
TOTAL,57.71,100.0,34.01,30.38,,25.58,33.33,,25.0,37.5,0.0,20.69,32.53,,31.43,40.62,20.0,62.84,64.66,,52.1,45.09
