PRECINCT NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
99999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
COLW,985.0,1.0,21.0,19.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,479.0,456.0,0.0,1.0,0.0
FAIR,1059.0,0.0,18.0,26.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0,0.0,518.0,482.0,0.0,1.0,0.0
FLIN,2863.0,1.0,55.0,44.0,0.0,3.0,4.0,0.0,1.0,1.0,0.0,9.0,10.0,0.0,2.0,1.0,0.0,1494.0,1233.0,0.0,3.0,2.0
HEMP,1145.0,1.0,19.0,20.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,2.0,0.0,564.0,521.0,0.0,1.0,2.0
HOTH,1111.0,0.0,24.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,539.0,527.0,0.0,1.0,2.0
MINE,1596.0,0.0,27.0,36.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,782.0,738.0,0.0,1.0,1.0
MOBI,1039.0,0.0,16.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,543.0,456.0,0.0,0.0,0.0
MORG,1830.0,0.0,33.0,36.0,0.0,3.0,6.0,0.0,2.0,2.0,0.0,3.0,4.0,0.0,6.0,2.0,0.0,894.0,832.0,0.0,4.0,3.0
NOON,756.0,0.0,16.0,16.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,351.0,365.0,0.0,0.0,1.0
SKEN,286.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,143.0,0.0,0.0,0.0
SUGC,2134.0,2.0,48.0,39.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,10.0,4.0,0.0,4.0,0.0,1.0,1055.0,962.0,0.0,1.0,1.0
TOCC,3119.0,1.0,55.0,67.0,0.0,4.0,3.0,0.0,2.0,3.0,0.0,6.0,12.0,0.0,7.0,4.0,0.0,1623.0,1324.0,0.0,6.0,2.0
TOTAL,17924.0,6.0,337.0,339.0,0.0,22.0,28.0,0.0,9.0,9.0,0.0,43.0,44.0,0.0,27.0,12.0,1.0,8975.0,8039.0,0.0,19.0,14.0
