PRECINCT NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
102,1051.0,1.0,24.0,21.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,308.0,257.0,0.0,279.0,155.0
103,2091.0,0.0,57.0,41.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,7.0,5.0,0.0,5.0,5.0,0.0,841.0,662.0,3.0,309.0,148.0
104,567.0,0.0,11.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,238.0,207.0,0.0,62.0,30.0
105,1246.0,0.0,43.0,22.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,132.0,93.0,0.0,651.0,292.0
106,776.0,0.0,17.0,16.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,354.0,315.0,0.0,45.0,21.0
107,1022.0,0.0,24.0,21.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,3.0,7.0,4.0,440.0,383.0,0.0,78.0,46.0
108,1367.0,0.0,32.0,24.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,2.0,2.0,0.0,627.0,530.0,0.0,90.0,52.0
109,1230.0,1.0,42.0,19.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,161.0,165.0,0.0,586.0,249.0
110,1343.0,0.0,22.0,26.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,1.0,540.0,446.0,0.0,203.0,93.0
111,516.0,0.0,13.0,11.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,150.0,129.0,0.0,145.0,63.0
112,471.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,166.0,0.0,71.0,38.0
113,214.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,83.0,0.0,24.0,17.0
114,1318.0,0.0,35.0,29.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,0.0,572.0,495.0,0.0,108.0,63.0
115,725.0,0.0,8.0,25.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,325.0,285.0,0.0,56.0,18.0
116,278.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,108.0,0.0,19.0,7.0
117,448.0,0.0,14.0,11.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,197.0,168.0,0.0,35.0,18.0
118,1381.0,1.0,45.0,27.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,5.0,3.0,0.0,7.0,11.0,1.0,581.0,422.0,0.0,178.0,93.0
119,860.0,0.0,16.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,39.0,0.0,496.0,262.0
120,1678.0,0.0,53.0,30.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,4.0,4.0,2.0,736.0,570.0,0.0,181.0,77.0
99999,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0
TOTAL,18590.0,3.0,472.0,357.0,0.0,43.0,23.0,0.0,5.0,3.0,1.0,48.0,30.0,0.0,33.0,36.0,12.0,6636.0,5525.0,3.0,3618.0,1742.0
