AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,469.0,0.0,31.0,27.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,14.0,7.0,0.0,1.0,0.0,0.0,121.0,105.0,0.0,91.0,67.0
30-34,441.0,0.0,16.0,24.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,123.0,123.0,0.0,86.0,57.0
35-39,427.0,0.0,29.0,23.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,146.0,120.0,0.0,76.0,28.0
40-44,409.0,0.0,15.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,3.0,0.0,142.0,124.0,0.0,68.0,33.0
45-49,452.0,0.0,22.0,28.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,141.0,146.0,0.0,68.0,37.0
50-54,495.0,0.0,20.0,17.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,1.0,0.0,139.0,167.0,0.0,84.0,54.0
55-59,566.0,0.0,25.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,204.0,164.0,1.0,78.0,69.0
60-64,550.0,0.0,18.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,7.0,0.0,2.0,1.0,0.0,188.0,156.0,0.0,94.0,68.0
65-OVER,1408.0,0.0,29.0,36.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,556.0,449.0,0.0,213.0,117.0
TOTAL,5217.0,0.0,205.0,202.0,0.0,9.0,10.0,0.0,2.0,3.0,0.0,31.0,29.0,0.0,12.0,10.0,1.0,1760.0,1554.0,1.0,858.0,530.0
