AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,1012.0,0.0,69.0,89.0,0.0,3.0,8.0,0.0,2.0,0.0,0.0,37.0,20.0,0.0,7.0,4.0,0.0,318.0,212.0,0.0,129.0,114.0
30-34,999.0,0.0,82.0,86.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,36.0,20.0,0.0,8.0,6.0,0.0,302.0,223.0,0.0,143.0,79.0
35-39,921.0,0.0,70.0,66.0,0.0,11.0,5.0,0.0,2.0,0.0,0.0,26.0,17.0,0.0,10.0,3.0,0.0,279.0,201.0,0.0,138.0,93.0
40-44,851.0,2.0,58.0,51.0,0.0,9.0,6.0,0.0,1.0,2.0,0.0,25.0,23.0,0.0,7.0,4.0,2.0,241.0,203.0,1.0,140.0,76.0
45-49,806.0,0.0,49.0,53.0,0.0,4.0,6.0,0.0,2.0,3.0,0.0,13.0,16.0,0.0,9.0,1.0,0.0,213.0,248.0,0.0,103.0,86.0
50-54,696.0,0.0,35.0,31.0,0.0,3.0,4.0,0.0,2.0,1.0,0.0,23.0,11.0,0.0,2.0,1.0,0.0,204.0,193.0,0.0,103.0,83.0
55-59,695.0,2.0,34.0,26.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,10.0,11.0,0.0,6.0,0.0,0.0,199.0,217.0,0.0,95.0,91.0
60-64,604.0,0.0,30.0,29.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,14.0,0.0,1.0,4.0,1.0,168.0,168.0,0.0,95.0,85.0
65-OVER,1101.0,0.0,50.0,36.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,6.0,7.0,0.0,2.0,3.0,0.0,412.0,360.0,0.0,129.0,91.0
TOTAL,7685.0,4.0,477.0,467.0,0.0,47.0,38.0,0.0,10.0,7.0,0.0,180.0,139.0,0.0,52.0,26.0,3.0,2336.0,2025.0,1.0,1075.0,798.0
