AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,172.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,57.0,48.0,0.0,40.0,14.0
30-34,176.0,0.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,61.0,57.0,0.0,35.0,12.0
35-39,215.0,0.0,9.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,67.0,0.0,37.0,7.0
40-44,239.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,95.0,81.0,0.0,36.0,16.0
45-49,276.0,0.0,8.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,97.0,93.0,0.0,48.0,20.0
50-54,325.0,0.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,106.0,124.0,0.0,53.0,27.0
55-59,387.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,153.0,124.0,0.0,55.0,37.0
60-64,380.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,138.0,117.0,0.0,68.0,41.0
65-OVER,1065.0,0.0,9.0,12.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,430.0,377.0,0.0,151.0,82.0
TOTAL,3235.0,0.0,60.0,48.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,13.0,9.0,0.0,3.0,2.0,1.0,1223.0,1088.0,0.0,523.0,256.0
