AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,409.0,0.0,13.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,104.0,97.0,0.0,130.0,52.0
30-34,441.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,131.0,96.0,0.0,149.0,45.0
35-39,505.0,0.0,6.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,2.0,2.0,149.0,121.0,0.0,143.0,66.0
40-44,533.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,133.0,154.0,0.0,157.0,74.0
45-49,663.0,0.0,7.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,197.0,164.0,0.0,187.0,97.0
50-54,716.0,0.0,3.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,206.0,198.0,0.0,188.0,110.0
55-59,820.0,0.0,17.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,227.0,227.0,1.0,210.0,124.0
60-64,808.0,0.0,14.0,8.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,245.0,207.0,0.0,216.0,109.0
65-OVER,2172.0,0.0,29.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,746.0,639.0,0.0,469.0,260.0
TOTAL,7067.0,0.0,106.0,74.0,0.0,5.0,4.0,0.0,3.0,1.0,0.0,12.0,18.0,0.0,8.0,6.0,2.0,2138.0,1903.0,1.0,1849.0,937.0
