,ASIA-PI FEMALE,ASIA-PI MALE,ASIA-PI UNKNOWN,BLACK FEMALE,BLACK MALE,BLACK UNKNOWN,CONGRESSIONAL DISTRICT,COUNTY NAME,HISP-LT FEMALE,HISP-LT MALE,HISP-LT UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,NATIVE-AM UNKNOWN,OTHER FEMALE,OTHER MALE,OTHER UNKNOWN,TOTAL,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,WHITE FEMALE,WHITE MALE,WHITE UNKNOWN
10,11.0,21.0,0.0,734.0,537.0,0.0,,CHARLTON,12.0,10.0,0.0,4.0,5.0,0.0,23.0,9.0,1.0,6556.0,0.0,384.0,470.0,2321.0,2010.0,4.0
10,1332.0,1166.0,5.0,41494.0,32282.0,49.0,,CHATHAM,2248.0,1854.0,6.0,122.0,139.0,0.0,1342.0,1095.0,7.0,196583.0,190.0,7753.0,8011.0,51657.0,45766.0,65.0
10,36.0,27.0,0.0,536.0,411.0,1.0,,CHATTAHOOCHEE,94.0,96.0,0.0,4.0,1.0,0.0,33.0,31.0,0.0,3845.0,0.0,196.0,277.0,1105.0,997.0,0.0
10,25.0,16.0,0.0,533.0,407.0,0.0,,CHATTOOGA,46.0,56.0,0.0,7.0,7.0,0.0,44.0,29.0,0.0,13165.0,1.0,605.0,637.0,5832.0,4918.0,2.0
10,1028.0,791.0,2.0,5255.0,4055.0,7.0,,CHEROKEE,2968.0,2443.0,5.0,76.0,86.0,0.0,911.0,852.0,4.0,169756.0,70.0,8479.0,8950.0,70291.0,63426.0,57.0
10,731.0,573.0,5.0,11351.0,7657.0,13.0,,CLARKE,1150.0,932.0,11.0,24.0,23.0,0.0,507.0,373.0,2.0,74805.0,94.0,4759.0,4837.0,22085.0,19606.0,72.0
10,3.0,2.0,0.0,626.0,399.0,0.0,,CLAY,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1858.0,0.0,28.0,34.0,401.0,358.0,0.0
10,2185.0,2242.0,25.0,73952.0,53921.0,126.0,,CLAYTON,3175.0,2701.0,14.0,118.0,93.0,1.0,1535.0,1139.0,13.0,179551.0,229.0,9172.0,8874.0,10869.0,9155.0,12.0
10,4.0,3.0,0.0,638.0,465.0,0.0,,CLINCH,15.0,9.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,4031.0,2.0,109.0,138.0,1408.0,1229.0,1.0
10,7804.0,6988.0,23.0,79217.0,57192.0,110.0,,COBB,12932.0,10700.0,30.0,442.0,436.0,0.0,5293.0,4024.0,25.0,507153.0,255.0,14452.0,14402.0,152713.0,139939.0,176.0
10,63.0,57.0,0.0,3561.0,2511.0,4.0,,COFFEE,313.0,304.0,0.0,16.0,12.0,0.0,50.0,57.0,0.0,22652.0,12.0,436.0,486.0,7941.0,6821.0,8.0
10,50.0,52.0,0.0,3021.0,2146.0,1.0,,COLQUITT,440.0,382.0,0.0,11.0,6.0,0.0,81.0,44.0,0.0,22697.0,18.0,662.0,698.0,8092.0,6989.0,4.0
10,1507.0,1196.0,6.0,8671.0,6835.0,20.0,,COLUMBIA,1421.0,1165.0,3.0,96.0,76.0,0.0,794.0,618.0,0.0,100126.0,47.0,4686.0,4773.0,36010.0,32161.0,41.0
10,23.0,20.0,0.0,1564.0,1066.0,0.0,,COOK,71.0,53.0,0.0,3.0,3.0,0.0,29.0,22.0,0.0,9685.0,0.0,129.0,176.0,3437.0,3088.0,1.0
10,522.0,378.0,2.0,8185.0,5659.0,17.0,,COWETA,1169.0,880.0,6.0,18.0,29.0,0.0,382.0,314.0,3.0,94527.0,51.0,5515.0,5629.0,34502.0,31208.0,58.0
10,10.0,11.0,0.0,893.0,692.0,2.0,,CRAWFORD,30.0,20.0,0.0,1.0,5.0,0.0,24.0,16.0,0.0,7840.0,4.0,190.0,265.0,2946.0,2731.0,0.0
