AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25-29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30-34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35-39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40-44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45-49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50-54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
55-59,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00
60-64,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01
65-OVER,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.01
TOTAL,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00
