,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,30.77,20.97,23.33,,13.33,41.95,33.8,36.05
1,0.0,34.3,14.81,,14.29,56.18,36.84,48.67
2,66.67,45.91,45.0,,16.67,60.13,47.17,55.92
3,50.0,54.02,51.72,,60.0,63.59,48.65,60.42
4,60.0,55.6,43.75,,50.0,67.22,51.49,64.08
5,100.0,55.66,43.75,100.0,55.56,73.85,51.59,68.88
6,62.5,62.04,50.0,100.0,33.33,74.62,53.41,70.62
7,40.0,71.1,71.43,,40.0,80.11,51.92,77.23
8,70.0,65.09,50.0,66.67,55.56,78.24,58.49,75.7
9,50.91,51.36,38.06,80.0,34.29,68.82,46.74,63.91
