,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,0.0,37.5,0.0,,16.67,44.85,31.58,38.26
1,50.0,43.29,28.57,,0.0,50.67,45.83,45.09
2,0.0,50.0,66.67,,0.0,65.79,47.37,53.02
3,0.0,56.66,,,0.0,72.39,27.27,60.32
4,54.55,62.54,100.0,,100.0,66.67,25.0,63.13
5,50.0,66.51,66.67,,100.0,71.5,80.0,68.39
6,50.0,68.88,42.86,,,69.43,30.0,68.01
7,58.33,73.54,33.33,,100.0,80.33,47.06,75.38
8,66.67,65.38,0.0,,50.0,75.0,42.86,69.55
9,43.64,58.73,33.33,,35.29,69.83,43.24,61.94
