,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,16.67,34.7,32.94,100.0,35.19,50.37,40.91,45.4
1,35.56,45.23,45.95,100.0,58.54,61.76,52.63,57.14
2,29.63,56.29,44.93,50.0,47.5,68.85,60.18,65.02
3,53.33,61.37,65.0,57.14,58.14,72.83,58.98,68.69
4,57.58,61.6,61.29,0.0,40.43,77.0,62.26,72.1
5,61.76,63.36,64.58,50.0,55.26,77.2,58.91,72.54
6,54.05,66.42,55.81,100.0,80.95,78.89,62.24,75.07
7,54.55,69.45,59.26,,92.31,81.62,66.59,78.44
8,52.78,65.38,60.0,100.0,59.46,78.75,67.43,76.18
9,44.03,58.13,52.53,52.63,54.76,73.54,58.59,69.03
