,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,0.0,30.89,20.93,0.0,28.57,41.38,37.1,35.59
1,44.44,41.76,52.63,100.0,60.0,49.65,40.0,46.22
2,33.33,45.82,50.0,100.0,50.0,58.78,34.88,52.53
3,60.0,56.03,44.44,,85.71,66.67,50.98,61.28
4,50.0,57.89,50.0,,33.33,72.79,48.78,65.41
5,16.67,66.72,53.85,0.0,66.67,71.14,48.15,68.24
6,33.33,66.78,41.18,0.0,50.0,75.45,55.0,71.21
7,100.0,70.0,60.0,0.0,100.0,74.78,51.16,72.41
8,33.33,64.3,54.55,,45.45,74.95,50.57,71.35
9,39.22,55.28,41.88,33.33,51.56,67.55,46.22,61.95
