-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,32.32,50.0,0.0,33.33,47.97,52.0,46.59
30-34,33.33,23.86,42.86,0.0,16.67,58.45,63.89,54.86
35-39,25.0,47.95,70.0,0.0,25.0,63.55,53.85,61.49
40-44,28.57,43.28,46.15,0.0,0.0,66.91,41.67,63.66
45-49,50.0,51.69,75.0,100.0,100.0,73.19,51.06,70.54
50-54,72.73,50.0,16.67,0.0,0.0,71.28,71.43,69.42
55-59,70.0,54.67,100.0,0.0,0.0,73.86,59.46,72.24
60-64,44.44,61.54,57.14,0.0,0.0,75.56,59.26,73.73
65-OVER,16.67,66.45,63.64,0.0,57.14,74.68,60.34,73.86
TOTAL,44.62,49.33,55.84,100.0,33.33,69.22,56.88,67.15
