,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,0.0,40.0,35.0,,40.0,42.35,32.35,41.37
1,33.33,0.0,14.29,,80.0,48.87,53.85,48.81
2,0.0,50.0,20.0,,,64.65,68.57,64.25
3,100.0,44.44,22.22,100.0,100.0,69.47,65.52,68.63
4,62.5,25.0,46.15,100.0,50.0,71.56,58.33,70.04
5,50.0,100.0,61.54,100.0,0.0,70.96,61.76,70.29
6,100.0,60.0,75.0,0.0,83.33,74.93,61.9,74.42
7,33.33,60.0,83.33,,66.67,77.22,81.63,77.22
8,25.0,87.5,44.44,,100.0,80.9,84.21,80.89
9,42.42,52.17,45.74,75.0,65.52,72.01,68.45,71.44
