AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
25-29,25.0,43.52,40.0,0.0,42.86,50.74,43.75,49.03
30-34,100.0,52.0,50.0,0.0,33.33,65.87,60.76,63.94
35-39,33.33,60.26,50.0,0.0,66.67,69.22,63.89,67.89
40-44,100.0,57.78,80.0,0.0,0.0,77.06,61.76,74.7
45-49,75.0,73.0,57.14,200.0,83.33,77.8,62.86,76.57
50-54,33.33,64.8,100.0,0.0,40.0,80.96,70.59,78.48
55-59,0.0,68.07,66.67,0.0,100.0,77.63,79.07,76.63
60-64,66.67,71.88,100.0,100.0,75.0,81.23,66.67,79.48
65-OVER,100.0,69.47,40.0,0.0,66.67,79.84,58.75,77.96
TOTAL,65.52,63.72,60.98,75.0,58.54,74.84,61.67,72.87
