,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,0.0,39.69,100.0,,,47.64,50.0,44.97
1,0.0,45.69,,,,55.14,62.5,51.92
2,,56.31,0.0,,100.0,63.9,37.5,60.85
3,0.0,64.86,,100.0,,67.01,55.56,65.62
4,,56.03,,,,66.8,50.0,63.16
5,,59.38,0.0,0.0,,74.79,50.0,68.32
6,0.0,63.71,100.0,,,69.23,75.0,67.46
7,50.0,74.04,,0.0,,78.31,25.0,76.11
8,,74.6,,,0.0,75.33,63.64,74.95
9,14.29,60.71,44.44,33.33,50.0,68.57,52.94,65.7
