,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,33.33,27.58,57.14,,30.77,47.38,26.72,38.85
1,15.38,34.17,50.0,50.0,55.56,54.57,26.51,46.4
2,50.0,45.74,42.86,100.0,42.86,61.28,33.33,54.79
3,33.33,51.24,45.45,0.0,0.0,66.74,32.84,60.28
4,50.0,49.63,66.67,33.33,28.57,71.84,39.39,64.62
5,50.0,57.44,30.0,100.0,66.67,71.73,35.48,66.02
6,83.33,62.85,16.67,100.0,50.0,73.68,50.88,69.97
7,75.0,64.91,50.0,50.0,42.86,79.6,55.56,74.97
8,46.15,66.44,80.0,66.67,61.54,77.06,42.72,73.98
9,46.34,52.07,49.14,57.14,45.07,69.86,36.23,63.52
