AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,25.0,36.42,75.0,0.0,100.0,54.04,32.56,44.14
25-29,100.0,35.2,0.0,0.0,0.0,48.2,40.0,41.46
30-34,25.0,40.62,0.0,100.0,0.0,55.71,13.04,46.84
35-39,50.0,43.77,50.0,0.0,0.0,62.19,75.0,54.76
40-44,100.0,50.37,66.67,0.0,100.0,68.56,36.84,60.12
45-49,66.67,58.53,33.33,0.0,100.0,72.13,42.86,66.04
50-54,0.0,60.34,60.0,0.0,0.0,72.03,50.0,66.31
55-59,0.0,61.68,0.0,0.0,100.0,73.36,70.0,68.11
60-64,66.67,66.76,0.0,0.0,100.0,79.58,60.0,74.24
65-OVER,66.67,64.15,50.0,0.0,75.0,79.06,51.35,73.49
TOTAL,48.28,52.67,42.31,25.0,58.82,69.42,42.61,61.64
