,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,25.0,30.0,33.33,,20.0,47.39,21.28,40.67
1,0.0,42.61,16.67,50.0,0.0,55.5,48.48,51.39
2,50.0,50.9,50.0,,,62.62,53.85,59.19
3,50.0,51.16,60.0,,0.0,66.17,36.0,61.26
4,0.0,63.24,75.0,,100.0,70.26,50.0,68.04
5,50.0,58.5,0.0,,0.0,73.9,43.48,68.54
6,66.67,61.05,,100.0,100.0,72.18,68.42,69.04
7,33.33,62.55,0.0,,50.0,77.83,66.67,73.01
8,77.78,65.35,50.0,50.0,0.0,75.96,50.0,73.55
9,51.61,55.24,40.0,60.0,29.41,69.11,45.71,64.85
