AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
25-29,35.48,29.08,21.31,0.0,18.07,34.03,27.43,29.76
30-34,19.35,40.84,23.94,0.0,25.0,42.81,34.3,40.53
35-39,13.04,49.65,37.5,33.33,45.83,49.7,36.79,48.89
40-44,28.57,56.54,31.25,0.0,46.67,57.39,38.51,55.66
45-49,29.55,59.54,55.17,0.0,58.82,60.88,47.53,59.17
50-54,36.36,64.23,40.0,33.33,61.11,66.33,46.01,63.93
55-59,64.29,66.09,57.14,33.33,52.63,66.52,47.92,65.61
60-64,54.55,70.25,68.18,50.0,45.45,75.11,46.15,71.28
65-OVER,32.43,67.44,44.44,75.0,62.5,70.26,48.75,68.26
TOTAL,34.21,54.39,37.21,25.81,38.69,62.36,40.42,56.17
