-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,20.77,28.57,0.0,0.0,42.83,33.33,37.89
30-34,0.0,38.26,43.48,100.0,50.0,52.58,36.36,49.63
35-39,100.0,46.72,7.69,0.0,0.0,53.77,35.71,51.24
40-44,100.0,41.67,42.86,0.0,100.0,67.31,36.84,61.84
45-49,33.33,46.67,50.0,0.0,0.0,66.88,30.77,63.15
50-54,0.0,47.93,50.0,0.0,50.0,73.17,44.44,68.06
55-59,50.0,59.84,55.56,0.0,0.0,73.63,53.85,70.57
60-64,0.0,71.43,50.0,0.0,33.33,72.8,71.43,72.22
65-OVER,0.0,62.7,41.67,0.0,0.0,76.22,58.82,73.8
TOTAL,45.45,50.21,38.57,25.0,26.09,66.49,42.98,62.87
