,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,,44.55,0.0,,20.0,51.0,31.58,47.02
1,0.0,45.86,0.0,,50.0,58.72,50.0,52.4
2,50.0,53.43,100.0,100.0,,69.71,41.67,61.31
3,100.0,61.9,0.0,,150.0,74.45,69.23,69.23
4,100.0,64.36,0.0,,,76.45,100.0,71.92
5,100.0,70.19,,200.0,,75.93,70.59,73.62
6,100.0,60.92,50.0,0.0,100.0,81.55,31.25,71.95
7,100.0,71.71,,,,84.23,56.25,78.53
8,66.67,69.28,50.0,50.0,66.67,79.63,54.55,75.73
9,80.0,62.49,30.77,80.0,61.54,75.4,52.27,69.73
