,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,,52.7,0.0,,0.0,33.33,57.14,46.55
1,,46.38,50.0,100.0,,34.29,50.0,43.12
2,,44.23,,,0.0,47.73,0.0,44.44
3,,54.17,,,,50.0,33.33,51.55
4,100.0,75.0,,,100.0,68.52,0.0,71.43
5,0.0,72.22,100.0,,0.0,68.25,33.33,68.79
6,,68.18,100.0,,,73.24,50.0,70.14
7,100.0,70.0,,,,77.45,40.0,73.81
8,,72.46,0.0,100.0,,80.39,83.33,77.9
9,66.67,63.41,50.0,100.0,25.0,70.25,53.66,66.69
