,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,100.0,47.39,0.0,,50.0,43.4,44.44,45.87
1,,58.24,0.0,,,46.07,68.75,54.86
2,150.0,63.44,0.0,,0.0,61.04,76.92,63.57
3,,69.95,75.0,100.0,,60.36,50.0,65.81
4,50.0,72.93,50.0,0.0,100.0,70.24,61.54,70.81
5,0.0,76.47,100.0,,100.0,74.05,66.67,75.37
6,,81.69,66.67,,100.0,73.17,84.62,78.34
7,,83.96,,,50.0,87.22,66.67,84.93
8,,74.86,50.0,,100.0,80.99,86.67,78.13
9,83.33,71.84,50.0,50.0,69.23,72.89,65.12,71.97
