,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,25.45,27.22,41.67,33.33,26.67,43.91,40.58,40.42
1,27.27,36.68,40.56,33.33,28.0,51.45,42.38,47.72
2,46.43,45.58,42.25,50.0,52.63,60.8,48.66,56.84
3,39.13,48.22,46.25,50.0,47.83,67.11,47.99,62.43
4,78.38,54.05,53.12,0.0,47.37,69.31,52.99,66.05
5,70.0,58.18,54.74,57.14,30.77,70.84,53.57,68.01
6,42.22,60.84,55.17,50.0,37.5,75.55,50.0,71.78
7,37.5,64.45,67.57,0.0,27.27,76.57,51.56,74.05
8,44.64,64.47,63.29,100.0,50.0,73.2,54.07,71.66
9,44.7,51.3,48.18,51.61,37.43,67.38,47.93,63.67
