,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,,31.86,30.0,0.0,25.0,43.84,33.33,37.24
1,0.0,40.0,50.0,,25.0,46.44,33.33,42.95
2,100.0,47.27,100.0,100.0,100.0,59.91,66.67,55.45
3,100.0,44.22,25.0,,0.0,67.73,54.55,58.41
4,,48.39,28.57,0.0,33.33,68.15,58.33,60.43
5,100.0,60.45,25.0,,100.0,67.52,50.0,64.76
6,100.0,59.89,0.0,,0.0,73.7,50.0,68.61
7,,64.71,0.0,,100.0,75.8,75.0,72.17
8,0.0,55.31,50.0,,100.0,73.05,50.0,68.75
9,63.64,50.31,31.43,33.33,45.45,67.79,50.38,61.51
