AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,50.0,38.46,16.67,0.0,60.0,61.42,34.92,49.41
25-29,0.0,43.59,50.0,0.0,0.0,55.84,33.33,48.15
30-34,0.0,48.87,33.33,0.0,100.0,59.55,57.14,54.9
35-39,0.0,58.27,0.0,0.0,0.0,75.39,45.0,66.37
40-44,50.0,57.35,50.0,100.0,100.0,72.99,50.0,65.87
45-49,0.0,56.1,100.0,0.0,0.0,78.31,64.71,69.52
50-54,0.0,67.21,0.0,0.0,0.0,74.73,46.67,70.83
55-59,0.0,67.69,60.0,0.0,0.0,77.46,64.71,73.05
60-64,0.0,74.18,100.0,0.0,0.0,81.89,60.0,78.1
65-OVER,66.67,73.55,0.0,0.0,0.0,79.28,70.83,77.17
TOTAL,36.36,60.86,41.67,50.0,41.67,73.77,47.88,67.43
