AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,33.33,40.63,100.0,0.0,0.0,52.59,18.75,43.02
25-29,0.0,37.97,0.0,0.0,0.0,60.48,37.5,45.41
30-34,0.0,47.69,0.0,0.0,100.0,52.99,80.0,50.77
35-39,0.0,53.42,0.0,0.0,0.0,61.86,50.0,55.52
40-44,0.0,59.01,100.0,0.0,100.0,73.11,20.0,64.58
45-49,0.0,68.02,0.0,0.0,0.0,69.42,0.0,67.45
50-54,0.0,64.35,50.0,100.0,0.0,80.42,80.0,70.36
55-59,0.0,70.46,0.0,0.0,0.0,79.87,71.43,73.42
60-64,0.0,76.26,0.0,0.0,100.0,83.24,83.33,79.56
65-OVER,66.67,72.1,0.0,0.0,50.0,79.46,50.0,75.84
TOTAL,30.0,59.89,42.86,50.0,75.0,73.16,50.59,65.01
