,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,,24.21,40.0,,50.0,44.69,37.5,40.32
1,0.0,31.18,37.5,,0.0,64.71,41.38,55.89
2,50.0,40.0,16.67,,50.0,66.58,52.38,60.93
3,100.0,41.67,25.0,,0.0,73.6,55.17,67.25
4,50.0,36.76,60.0,,,71.1,56.0,65.86
5,50.0,66.23,0.0,,100.0,70.37,50.0,68.55
6,100.0,46.84,66.67,,100.0,77.78,64.0,72.66
7,,57.14,100.0,,,76.1,66.67,73.07
8,50.0,51.11,50.0,100.0,100.0,78.32,56.1,75.0
9,61.11,43.88,40.38,100.0,43.75,71.41,52.28,66.31
