,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,100.0,28.06,36.84,,0.0,53.11,32.08,43.55
1,0.0,49.5,36.36,,50.0,59.14,40.0,54.15
2,50.0,51.92,42.86,,66.67,71.2,44.12,63.25
3,0.0,57.94,40.0,,66.67,73.4,41.67,66.21
4,100.0,62.37,50.0,,0.0,74.38,53.33,70.0
5,50.0,59.46,28.57,,100.0,74.59,58.62,69.69
6,0.0,61.67,60.0,,66.67,78.31,47.06,72.71
7,100.0,73.38,50.0,,100.0,81.38,51.85,77.54
8,50.0,57.62,50.0,,,78.88,51.35,73.89
9,42.11,55.79,41.38,,47.62,73.58,45.49,67.28
