-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,9.09,40.0,21.05,0.0,33.33,48.58,41.38,46.68
30-34,0.0,33.33,33.33,0.0,60.0,62.09,61.54,61.02
35-39,28.57,46.67,46.67,0.0,100.0,67.58,47.22,65.72
40-44,75.0,45.45,41.18,0.0,50.0,73.88,42.5,71.35
45-49,25.0,36.36,42.11,0.0,100.0,72.59,58.33,70.37
50-54,57.14,56.52,40.0,0.0,0.0,73.03,72.0,72.2
55-59,57.14,47.83,62.5,0.0,75.0,74.53,62.96,73.3
60-64,28.57,53.33,80.0,0.0,62.5,77.82,75.0,76.43
65-OVER,33.33,55.81,72.73,0.0,0.0,75.67,60.71,74.63
TOTAL,34.38,48.3,43.97,0.0,56.67,70.96,55.72,69.32
