,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,100.0,23.14,30.77,100.0,16.67,45.73,32.14,41.88
1,100.0,33.33,18.18,,20.0,52.03,45.28,48.87
2,25.0,46.81,66.67,,0.0,57.18,47.73,55.31
3,100.0,55.29,37.5,33.33,0.0,64.42,66.67,63.16
4,33.33,51.85,53.85,,20.0,68.25,64.86,65.73
5,80.0,54.21,22.22,0.0,60.0,66.71,44.12,64.11
6,,68.18,16.67,50.0,40.0,68.21,45.45,66.99
7,,65.88,33.33,,0.0,75.44,47.06,73.53
8,33.33,69.07,28.57,100.0,33.33,72.9,48.98,71.88
9,54.55,52.82,37.5,50.0,25.0,65.28,47.88,62.96
